sentence,intents
what thing are there to do in portland,travel_suggestion
what is there to do besides drink in germany,travel_suggestion
what festival are there to see in paris,travel_suggestion
what fun is there to do in england,travel_suggestion
where is the best winery in the south of france,travel_suggestion
what should i do in france,travel_suggestion
where do you suggest i plan my next vacation,travel_suggestion
what are your best travel suggestion,travel_suggestion
what are some suggestion for place to travel,travel_suggestion
what do people in sioux fall do for fun,travel_suggestion
whats there to do in seattle,travel_suggestion
are there any interesting activity to do in austin,travel_suggestion
wheres a good place to go if i want to see mountain,travel_suggestion
whats a nice place to visit a beautiful beach,travel_suggestion
what should i do in bangor,travel_suggestion
what do tourist do for fun in seattle,travel_suggestion
are there any fun tourist activity in australia,travel_suggestion
whats a good use of my time in toronto,travel_suggestion
what can a tourist in denver do,travel_suggestion
what sort of thing do people do in new york,travel_suggestion
tell me some thing to see in tampa,travel_suggestion
is there anything neat to do in boston,travel_suggestion
what are some interesting thing to do in dc,travel_suggestion
whats the funnest thing for a tourist to do in iceland,travel_suggestion
what do my health benefit consist of,insurance
what health benefit are available to me,insurance
what health benefit can i use,insurance
what are the health benefit i have,insurance
what health benefit do i have,insurance
i need to know my health benefit,insurance
what is my health plan,insurance
whats the name of my medical coverage,insurance
i need to know more about my health plan,insurance
are my health benefit good,insurance
tell me what my health plan is called,insurance
do i have many health benefit,insurance
tell me about my health insurance,insurance
what is the name of my health insurance,insurance
list all of my health benefit,insurance
my insurance give me what benefit,insurance
what benefit are available with my insurance,insurance
what benefit doe my insurance provide,insurance
what benefit are provided by my insurance,insurance
my insurance benefit are what,insurance
what benefit do i get from insurance,insurance
give me information on my health plan,insurance
id like to know about my health plan,insurance
can you tell me my health plan,insurance
insurance benefit,insurance
what benefit are associated with my insurance,insurance
can you tell me my insurance benefit,insurance
what benefit doe my insurance have,insurance
im curious what health plan im on,insurance
im wondering what health plan im on,insurance
can you let me know what health plan im on,insurance
do you know the health plan im on,insurance
is it possible for you to let me know what health plan im on,insurance
tell me about my insurance benefit,insurance
list my insurance benefit,insurance
list insurance benefit,insurance
insurance benefit information,insurance
insurance benefit detail,insurance
give me the name of the insurance plan that i enrolled in,insurance
tell me the name of my insurance plan,insurance
what is the name of my insurance plan,insurance
what is the name of the insurance plan that im enrolled in,insurance
please provide the name of the insurance plan that im enrolled in,insurance
whats the healthcare plan im on,insurance
whats the deal with my health care,insurance
whats my current health care plan,insurance
any word on my healthcare plan,insurance
what healthcare plan do you have me on,insurance
i need you to tell me what benefit are included in my insurance,insurance
please find the benefit provided by my insurance,insurance
what benefit do i have with my insurance,insurance
can you tell me what is included in my health benefit,insurance
please tell my what insurance plan i registered for,insurance
i need to know what my health benefit cover please,insurance
i would like to hear a list of my insurance benefit please,insurance
what is the insurance plan that im signed up for,insurance
please tell me whats provided in my health benefit,insurance
which insurance plan do i currently have,insurance
can you tell me the name of the insurance plan im a member of,insurance
remind me of which insurance plan im currently enrolled in,insurance
what benefit doe my health coverage give me,insurance
i would like to know all of the covered benefit that are given by my health care plan,insurance
can you tell me what benefit i receive with my insurance,insurance
is there an insurance plan for my health,insurance
can i see my health benefit,insurance
what are the benefit i get for my health,insurance
what is the aid i get from these health benefit,insurance
can i obtain health benefit,insurance
give me info on my health plan,insurance
what wa my health plan again,insurance
what health plan do i have,insurance
tell me my health plan,insurance
whats my health plan,insurance
which insurance plan am i enrolled in please,insurance
what type of insurance plan am i enrolled in please,insurance
what kind of insurance plan am i enrolled in,insurance
what kind of insurance plan am i enrolled in please,insurance
may i know my insurance benefit,insurance
where is the list of my insurance benefit,insurance
whats my insurance benefit like,insurance
how do i know my insurance benefit,insurance
what insurance benefit am i getting,insurance
how would you define my health benefit,insurance
will you summarize my health benefit,insurance
define my health benefit,insurance
how would you describe my health benefit,insurance
what is the definition of my health benefit,insurance
can you explain my benefit,insurance
whats included with my insurance,insurance
what insurance benefit do i have,insurance
what do my benefit look like,insurance
what benefit are included in my package,insurance
what are my insurance asset,insurance
what are my insurance advantage,insurance
what are my insurance perk,insurance
what are my insurance reward,insurance
what are my insurance amenity,insurance
do you know what my health benefit are,insurance
please look up the name of my insurance plan,insurance
can you tell me the name of my insurance plan,insurance
i need to add the chore of vacuuming to my task list,todo_list_update
put wash the counter down on my list of pending task,todo_list_update
take doing the dish off my todo list,todo_list_update
blank out my todo list,todo_list_update
erase all item on my todo list,todo_list_update
delete everything on my todo list,todo_list_update
add clean bathroom to my to do list,todo_list_update
go ahead and take cleaning the bathroom off my todo list,todo_list_update
you can remove vacuuming off the todo list,todo_list_update
make my todo list blank,todo_list_update
please take shoveling the car off my todo list,todo_list_update
id like you to remove throw away dvd off my todo list,todo_list_update
put clean stovetop on my list of reminder,todo_list_update
nuke all item on my todo list,todo_list_update
will you put change the light bulb on my list of thing to do,todo_list_update
delete everything from the task list,todo_list_update
hurry up and just erase everything from the todo list,todo_list_update
can you kindly clear my agenda list,todo_list_update
hey just take off everything from my todo list,todo_list_update
i dont want to do anything today so just clear the todo list,todo_list_update
please include feeding the fish on my to do list,todo_list_update
please remove laundry from my list of chore,todo_list_update
please clear out my whole to do list,todo_list_update
i want you to clear out my to do list,todo_list_update
i want you to add cleaning the toilet to my to do list,todo_list_update
make sure my to do list is completely clear please,todo_list_update
please include laundry on my to do list,todo_list_update
can you please add take out recycling on my list of chore to complete,todo_list_update
please get rid off everything on my to do list,todo_list_update
please take feeding the fish off of my list of task to complete,todo_list_update
i need to add dusting the bookshelf to my to do list,todo_list_update
please put washing the dish on my list of task to accomplish,todo_list_update
please be sure to put folding laundry on my to do list for me,todo_list_update
please put watering the plant on my to do list,todo_list_update
please erase everything on my to do list,todo_list_update
take watering the plant off of my to do list,todo_list_update
i just finished taking out my recycling so cross that off my to do list,todo_list_update
can you check washing the dish off on my to do list,todo_list_update
i need laundry put on my list of task to complete,todo_list_update
please add watering the plant to my current to do list,todo_list_update
to my domestic task list please add paint kitchen,todo_list_update
add to my task list get carpet cleaned,todo_list_update
add clean the bathroom to my task list,todo_list_update
put clean refrigerator on my spring cleaning to do list,todo_list_update
on my big project task list please add paint shutter in spring,todo_list_update
delete my to do list,todo_list_update
erase get a haircut from my to do list please,todo_list_update
i need to include a stop at the pharmacy to the list of thing to do,todo_list_update
please cross off schedule acupuncture appointment off of the to do list,todo_list_update
please put my acupuncture appointment on my to list,todo_list_update
can you add a trip to the post office to my to do list please,todo_list_update
please also list wash laundry on my to do list,todo_list_update
will you please put remember to drop off at the dry cleaner to my current to do list,todo_list_update
would you kindly remove five mile run from my list of thing to do,todo_list_update
let go ahead and scratch laundry off my to do list please,todo_list_update
can you delete lunch with david from my to do list,todo_list_update
put dish on to do list,todo_list_update
on my to do list add dish,todo_list_update
i need to do dish put it on my to do list,todo_list_update
add dish to my list,todo_list_update
cleaning need to be on my to do list,todo_list_update
please add cleaning on my list to do,todo_list_update
cleaning need to go on my list of thing to do,todo_list_update
on my to do list add cleaning,todo_list_update
i need to do cleaning so add it to my to do list,todo_list_update
on my to do list i need cleaning added,todo_list_update
put cleaning on my to do list,todo_list_update
please put cleaning on my list of thing to do,todo_list_update
add cleaning to my to do list,todo_list_update
on my list of thing to do add cleaning,todo_list_update
can you place laundry on my to do list,todo_list_update
help remind me that i need to add laundry to my list of housework,todo_list_update
if you could remind me about doing laundry i would appreciate it,todo_list_update
please remind me to add laundry to my list of chore,todo_list_update
add laundry to my list of shit to do,todo_list_update
add change filter to my to do list,todo_list_update
add schedule appraiser to my to do list,todo_list_update
add mop bathroom to my to do list,todo_list_update
add do laundry to my to do list,todo_list_update
put buy dog food on my to do list,todo_list_update
on my to do list add exercising,todo_list_update
remove all item from todo list,todo_list_update
add grocery shopping to my list of thing to do,todo_list_update
clear out my entire todo list,todo_list_update
remove laundry from my todo list,todo_list_update
put laundry on my to do list,todo_list_update
nix folding laundry from my todo list,todo_list_update
add washing dish to my to do list,todo_list_update
cross volunteering off my todo list,todo_list_update
take everything off my todo list,todo_list_update
i no longer need to wash dish take it of my list,todo_list_update
delete everything on my to do list,todo_list_update
mark down cleaning the bathroom on my list of thing to do,todo_list_update
throw mopping onto my to do list,todo_list_update
can you remind me to mop later by putting it on my to do list today,todo_list_update
will you make sure that mopping is on my to do list,todo_list_update
will you add mopping to my to do list please,todo_list_update
can you put mopping on my to do list,todo_list_update
place cleaning the backyard on my list of thing to do,todo_list_update
please put the meeting with carla on my to do list,todo_list_update
tell me my reminder,reminder
tell me my current reminder list,reminder
please read my reminder,reminder
will you repeat my reminder list,reminder
check my reminder for mop and floor,reminder
read my reminder list to me,reminder
is mop the floor already in my reminder,reminder
read back the reminder list,reminder
whats on the reminder list,reminder
read my reminder to me,reminder
check my reminder for mop the floor,reminder
what reminder do i have,reminder
read what i added to the reminder list,reminder
can you list each item on my reminder list,reminder
can you tell me what reminder ive set,reminder
tell me whats on my reminder list,reminder
do i have any reminder to look up how to properly do a potato in my microwave,reminder
do i have a reminder for our neighbor anniversary,reminder
tell my all my reminder,reminder
is respond to the professor email on my list of reminder,reminder
read me my reminder list,reminder
go through all the reminder on my list and state what they are,reminder
is there a reminder for my aa meeting on my list,reminder
speak back to me whats on my reminder list,reminder
iterate the item on my reminder list,reminder
please go through my reminder list and tell me whats on it,reminder
did i add to my reminder list that i need to take the car in for an oil change,reminder
what did i want to remember again,reminder
what did i put on my list of reminder,reminder
can you tell me the reminder i have set up,reminder
what were the reminder that i made,reminder
i wanted to remember what again,reminder
can you remind me what i wa trying to remember,reminder
i had a list of reminder what were they,reminder
remind me of what i asked you to remember,reminder
what reminder did i have,reminder
what are the thing i told you to help me remember,reminder
read my reminder please,reminder
whats on my reminder list today,reminder
do i have anything in my reminder,reminder
what did i ask to be reminded about,reminder
check if getting a light bulb is on my list of reminder,reminder
is buying a light bulb on my reminder list,reminder
confirm that buy a light bulb is on my list of reminder,reminder
please read my list of reminder,reminder
what is now on my reminder list,reminder
what thing are currently on my reminder list,reminder
tell me what is showing up on my reminder list,reminder
what are the item on my reminder list,reminder
can you read my list back to me,reminder
can you repeat my list back to me,reminder
can you describe my list back to me,reminder
what is on my reminder list,reminder
is checking the mail on my list of reminder,reminder
i want to see my reminder list,reminder
what do i want to remember,reminder
let me know what is on my reminder list,reminder
can you please repeat my list back to me,reminder
tell me what is on my reminder list,reminder
let me see the reminder list please,reminder
can you read me my list of reminder,reminder
what do i have on my list of reminder,reminder
what did i list in my reminder,reminder
i wanted to remember some thing what were they,reminder
can you remind me the thing i wa trying to remember,reminder
let me know whats on my list of reminder,reminder
can you tell me what thing i wa trying to remember,reminder
tell me whats on my reminder list please,reminder
what were those thing i wa trying to remember,reminder
do you know what thing i wanted to remember,reminder
what are in my reminder list,reminder
my list of reminder is what,reminder
on my list of reminder is what,reminder
the list of my reminder is what,reminder
reminder of my list is what,reminder
is there a reminder set to clean the gutter,reminder
what do i have on my reminder list,reminder
please read all the item on my reminder list,reminder
can you tell me all the reminder i have set on my reminder list,reminder
did i request a reminder for my niece graduation,reminder
can you read my reminder list please,reminder
is the company party on my list of reminder,reminder
did i set up a reminder to clean the bathroom,reminder
what did i include on my list of thing to remember,reminder
please look to see if paying bill is on my reminder list currently,reminder
please tell me everything on my list of reminder,reminder
tell me if flipping the mattress is on my list of reminder please,reminder
i need to know the content of my list of reminder,reminder
tell me everything i included on my list of thing to remember for later,reminder
check to see if picking up glenn from the airport is on my list of reminder,reminder
go through my reminder list with me please,reminder
i would like to hear you read my reminder list to me,reminder
i want to hear what is on my reminder list,reminder
read my list of reminder to me,reminder
tell me what i had wanted to remember earlier,reminder
did i include cleaning the hamster cage on my list of reminder,reminder
walk me through the item on my reminder list,reminder
i need to know what it is that i wanted to remember before,reminder
please give me a rundown of my reminder list,reminder
i want to hear everything on my reminder list,reminder
can you slow your speaking down,change_speed
slow down your talking too fast i dont understand you,change_speed
youre talking too fast i need you to slow it down,change_speed
youre speaking too fast slow down,change_speed
can you speak slower please,change_speed
can you please speed up your speech setting,change_speed
i want you to adjust your speaking to be faster,change_speed
can you speak faster please,change_speed
i want you to speak to me faster,change_speed
decrease the speed of your speech please,change_speed
please speed up your speaking pattern,change_speed
i want you to talk more slowly,change_speed
your voice speed is too slow please increase it,change_speed
i want your speech setting to be made slower,change_speed
you are talking far too fast for me can you slow it down a bit,change_speed
please make it so you say your word more slowly,change_speed
can you talk slower please,change_speed
can you speed up your speech please,change_speed
i want you to talk more quickly,change_speed
you are talking too fast for me please slow down,change_speed
please increase the speed of your speech it is too slow,change_speed
could you slow down your speech,change_speed
please increase the speed of your talking,change_speed
please slow down i cant understand you,change_speed
i want you to speak more slowly to me,change_speed
speed up your speech,change_speed
speak slower,change_speed
id like you to talk faster,change_speed
speak at a slower rate,change_speed
talk slower please,change_speed
slow your roll,change_speed
slow your speech,change_speed
slow down your speech,change_speed
slow down your talking,change_speed
speak faster please,change_speed
speak more quickly please,change_speed
i need you to speak faster,change_speed
you should talk faster,change_speed
slow your speech down,change_speed
present your speech at a slower pace,change_speed
can you slow down,change_speed
make your speed a bit slower,change_speed
can you please speed up your speech,change_speed
make your speech slower than now,change_speed
change the speed of your voice to slower,change_speed
slow down,change_speed
can you please slow down,change_speed
find a new voice that is slower than your current voice,change_speed
can you please talk faster,change_speed
talker faster please,change_speed
slow the speech down,change_speed
hey speak slowly,change_speed
reduce your speed of voice,change_speed
hey ai dont speak fast,change_speed
hey slow down and take your time,change_speed
hey ai reduce your speed of speaking,change_speed
can you slow down your speech,change_speed
how do i slow down my ai voice,change_speed
could you speak a little more slowly,change_speed
how do i change your option so that you speak more slowly,change_speed
how do i change the speed of my ai voice,change_speed
adjust speech rate to a faster setting,change_speed
please use a quicker rate of speech,change_speed
speak faster,change_speed
speed up your talking please,change_speed
could you not talk so slowly,change_speed
can you please talk slower,change_speed
can you talk a bit slower please,change_speed
can you please not talk so fast,change_speed
speak slower please,change_speed
please dont speak so fast,change_speed
can you speak with me using faster speech,change_speed
please say thing more quickly,change_speed
will you speak more rapidly,change_speed
i would like you to increase the speed of your speech please,change_speed
id like you to speak a bit slower,change_speed
can you change how fast youre talking to speak more slowly,change_speed
i cant understand you because of how rapidly youre speaking,change_speed
can you slow down how fast you talk,change_speed
please speak slower,change_speed
whoa whoa please slow down,change_speed
is there any way you can decrease your speaking rate,change_speed
why are you talking so sloooooooooowly please speed it up,change_speed
can i get you to talk at a slightly faster rate,change_speed
can you talk at a normal speed please,change_speed
please stop talking so fast,change_speed
hey stop talking like youre a stretch taped,change_speed
please slow down how youre speaking,change_speed
youre talking too quickly for me to understand,change_speed
is it possible to speed up of your reply,change_speed
where do i find instruction on how to speed up voice reply,change_speed
how do i speed up the speech of this ai,change_speed
sorry can you speak a little faster,change_speed
sorry can you speak a little quicker please,change_speed
can you speak a little faster please,change_speed
sorry can you speak a little faster please,change_speed
could you speak a little faster please,change_speed
i need to change your voice setting,change_speed
can you slow down the speed in which you speak,change_speed
youre speaking too fast and i need to change that,change_speed
hows the air pressure in my tire,tire_pressure
whats my tire current air pressure,tire_pressure
whats the amount of air in my tire right now,tire_pressure
are my tire air pressure good enough to drive on,tire_pressure
whats the inflation of my tire,tire_pressure
whats the current psi for my tire,tire_pressure
how low is the pressure in my tire,tire_pressure
whats the current tire pressure of my tire,tire_pressure
is the air pressure in my tire low,tire_pressure
whats my current tire pressure,tire_pressure
is the air pressure on my tire low,tire_pressure
do i need to fill up my tire,tire_pressure
are my tire in need of air,tire_pressure
should i put air in my tire,tire_pressure
are my tire requiring a fillup,tire_pressure
are my tire good on air,tire_pressure
have my tire got adequate amount of air in them,tire_pressure
do i need more air in my tire,tire_pressure
should i be concerned about the air in my tire,tire_pressure
how is the air level in my tire,tire_pressure
how much air is in my tire,tire_pressure
is there air in my tire,tire_pressure
air amount in tire,tire_pressure
how high is the air in my tire,tire_pressure
how much air remains in my tire,tire_pressure
what is the tire pressure in my car,tire_pressure
are my tire full or low,tire_pressure
what is the current tire pressure level in the car,tire_pressure
tell me my car tire air pressure,tire_pressure
do i need to fill my tire,tire_pressure
tell me my tire air pressure,tire_pressure
whats my tire air pressure,tire_pressure
whats my car tire pressure,tire_pressure
what is the air pressure in my tire,tire_pressure
can you tell me the tire pressure in my car,tire_pressure
whats my air pressure right now,tire_pressure
whats the air level in my tire,tire_pressure
tell me my car tire pressure level,tire_pressure
how many psi are my tire at the moment,tire_pressure
the car feel wobbly so check my tire pressure,tire_pressure
what is my current tire pressure for each tire,tire_pressure
tell me th pressure of my tire,tire_pressure
please measure my tire pressure,tire_pressure
the car riding funny doe the tire pressure feel low to you,tire_pressure
can you check the tire pressure,tire_pressure
do the tire look a little low on pressure,tire_pressure
what is the pressure like on my tire,tire_pressure
measure tire pressure,tire_pressure
check my car tire pressure,tire_pressure
gauge the tire pressure,tire_pressure
how much pressure is in my car tire,tire_pressure
what is my car tire pressure,tire_pressure
are my tire fully inflated,tire_pressure
do i need to inflate my tire,tire_pressure
are my tire aired properly,tire_pressure
are my tire ok on pressure,tire_pressure
is the pressure in my tire optimal,tire_pressure
are my tire properly inflated with air,tire_pressure
are my tire good on pressure,tire_pressure
do my tire have enough air,tire_pressure
please check and report on my tire pressure,tire_pressure
hows my tire pressure,tire_pressure
i want an evaluation of my car tire pressure,tire_pressure
can you give me a reading of my car tire pressure please,tire_pressure
i would like to know my car tire pressure please,tire_pressure
how are my tire,tire_pressure
are my tire low,tire_pressure
should i air up the tire,tire_pressure
do the tire need air,tire_pressure
how is the tire pressure,tire_pressure
how much pressure are currently in my tire,tire_pressure
how much pressure is in my tire,tire_pressure
whats the pressure like in my tire,tire_pressure
how are the tire on air pressure,tire_pressure
please check the pressure in my tire,tire_pressure
hows the air in my tire,tire_pressure
i am needing to know how low the air in my tire are,tire_pressure
tell me how low the air in my tire are,tire_pressure
i want to know how low the air in my tire are,tire_pressure
let me know how low the air in my tire are,tire_pressure
would you let me know how low the air in my tire are,tire_pressure
what doe my tire pressure look like,tire_pressure
are my tire underinflated,tire_pressure
is my tire pressure in the correct range,tire_pressure
do my tire need air,tire_pressure
should i pump my tire,tire_pressure
are my tire low on air,tire_pressure
do my tire seem too low on air,tire_pressure
would it be smart to put air in my tire,tire_pressure
whats the tire pressure of my car,tire_pressure
is my tire pressure okay,tire_pressure
can you tell me whats the car tire pressure,tire_pressure
tire pressure please,tire_pressure
can you check my tire pressure,tire_pressure
can you tell me what my tire pressure is,tire_pressure
can you check the air in my tire,tire_pressure
check how much air is in my tire,tire_pressure
how much air do i have in my tire,tire_pressure
tell me what my tire pressure is,tire_pressure
how full are my tire,tire_pressure
no thats incorrect,no
thats not true,no
that is not true it false,no
not really,no
naw,no
nay,no
i must say no,no
i think not,no
that is actually false,no
i gotta say no,no
no thanks,no
no is the answer,no
i dont think so,no
it a no,no
i think it is false,no
not true,no
that is not true,no
not at all,no
that turn out to be false,no
please no,no
not that,no
definitely not,no
i would have to say the answer to that is no,no
i say no to that question,no
no that is my response,no
i dont believe that is possible it is false,no
i would say that the statement is definitely false,no
i am afraid that that is not the case,no
no that information is wrong,no
that is a completely false statement,no
that would be a no,no
i do not think that is true so i would say it is a false statement,no
incorrect it is certainly a false statement,no
i do not believe that that is correct,no
the answer is definitely no,no
sorry that is not true,no
thats a negative,no
no,no
thats not right,no
i dont like that no,no
no way,no
oh hell no thatd be terrible,no
thats inaccurate,no
thats not what i want,no
thats completely false,no
thats totally wrong,no
thats a hard no from me,no
no dont do that,no
false for sure,no
thats definitely false,no
nope thats false,no
no that is not right,no
no that is inaccurate,no
no that cant be right,no
that is untrue,no
i disagree that is false,no
what you just said is false,no
that is erroneous,no
no thats wrong,no
that isnt the right answer,no
the information is wrong,no
that is not correct,no
that is not right,no
that is wrong,no
ill pas,no
not that one,no
thats not right so no,no
the answer is false,no
no that is not right at all,no
that is overwhelmingly false,no
thats not right it false,no
i say negative,no
negative for sure,no
nope,no
no thank you,no
that is not the case,no
no that isnt the case,no
no that isnt it,no
no that isnt correct,no
that would be no,no
you are wrong,no
no that is wrong,no
that is false,no
negative,no
what you just said is wrong,no
thats actually wrong,no
thats not correct,no
thats incorrect,no
are you sure i dont think thats correct,no
thatd be a no,no
nada,no
the answer is no,no
i think thats false,no
i believe that to be false,no
it seems not,no
that would be false,no
is the apr on my credit card good,apr
how good is the apr on my credit card,apr
do i have a good apr on my credit card,apr
doe my credit card apr fall into a good range,apr
tell me how the apr on my hyvee card is,apr
whats my apr on my discovery card,apr
whats an example of a good apr and what do i have,apr
how much is my apr on my bank of america card,apr
is my visa card apr decent,apr
how good is the apr on my mastercard compared to others,apr
is the apr rate on my amex pretty good,apr
can you inform me what my apr is on my visa,apr
how high is the apr on my mastercard,apr
how much is my amex apr,apr
whats the current apr for my mastercard,apr
how much do i pay in apr on my amex card,apr
what is the apr on my master card,apr
what is the apr on my visa card,apr
what is the apr on my discover card,apr
what is the apr on my chase freedom card,apr
what is the apr on my american express card,apr
what is the credit card apr exactly,apr
what is the credit card apr at the moment,apr
what is the credit card apr if you could fill me in,apr
what is the credit card apr please,apr
what is the credit card apr if you could tell me,apr
could you tell me what is the apr for the credit card,apr
could you please state the apr for the credit card,apr
what is the credit card apr,apr
what is the apr for the credit card,apr
could you please tell me the apr for the credit card,apr
what is the apr rate on my bank of america card,apr
i need to know on my citibank card what is the apr,apr
i need to know the apr on my credit union visa,apr
on my bank of america visa what is the apr,apr
what is the apr on my aaa visa card,apr
review of my card apr,apr
how good is card apr,apr
can you give me an appraisal of my card apr,apr
tell me the apr on my mastercard,apr
give me the apr for my mastercard,apr
fill me in on the apr for my american express card,apr
would you say that my card apr is,apr
give me information about my card apr,apr
what is the apr on my barclays card,apr
i need to know the apr for my visa card,apr
can you look into whether my card ha good apr or not,apr
tell me how good the apr is on my card please,apr
i must know my visa card apr,apr
i need the apr on my visa card,apr
get me the apr on my visa card,apr
the apr on my visa card is what,apr
can you tell me the apr on my visa card,apr
my visa card whats the apr on that,apr
the apr on my disney visa what is that exactly,apr
id like to know the apr on my visa card,apr
hey siri tell me the apr on my disney visa,apr
check the apr on my disney visa please,apr
how much is the apr these day on my nordstrom credit card,apr
on my well fargo mastercard what is the current apr,apr
tell me the current apr on my visa card from bbt,apr
what is the apr on my chase visa,apr
what will the apr on my transferred balance be after the first year on my bank of america credit card,apr
whats my apr on the credit card i used for a purchase a week ago,apr
whats my apr on the card i recently used to make a purchase,apr
whats my apr on my primary credit card,apr
whats my apr on this card,apr
whats the apr like for my credit card,apr
this credit card apr is what,apr
what apr do i have with my credit card,apr
what apr doe this credit card have,apr
what is the apr to my credit card,apr
i want you to tell me my credit card apr,apr
tell me what my credit card apr is,apr
would you please inform me about my credit card apr,apr
do you know my credit card apr,apr
it would be great if you could tell me my credit card apr,apr
what is my credit card annual percentage rate,apr
tell me my credit card annual percentage rate,apr
my credit card apr please,apr
can you let me know my credit card apr,apr
what is my apr for my credit card,apr
what is my apr,apr
i want to know my credit card apr,apr
is my apr for my credit card available,apr
tell me my credit card apr,apr
whats the apr on my visa card please,apr
whats the apr on my amex card,apr
whats the apr on my amex card please,apr
what is the apr on my amex card please,apr
what is the apr on my amex card,apr
give me my credit card apr,apr
what is the apr for my credit card,apr
please say my credit card apr,apr
what is my credit card apr,apr
please say the apr for my credit card,apr
credit card annual rate,apr
whats the annual rate on my discover card,apr
tell me the apr of my credit card,apr
whats the apr of my discover card,apr
whats the nutritional info for spaghetti,nutrition_info
whats the nutritional info for pizza,nutrition_info
how healthy are potato skin,nutrition_info
how healthy is spaghetti,nutrition_info
share the nutrition info for brownie with me,nutrition_info
share the nutrition info for french fry with me,nutrition_info
whats the nutritional info for potato skin,nutrition_info
whats the nutritional info for lasagna,nutrition_info
how healthy are french fry,nutrition_info
share the nutrition info for spaghetti with me,nutrition_info
share the nutrition info for cake with me,nutrition_info
whats the nutritional info for french fry,nutrition_info
how healthy is tomato soup,nutrition_info
share the nutrition info for pizza with me,nutrition_info
what do you know to be the nutritional info for macaroni and cheese to be,nutrition_info
the nutritional info for macaroni and cheese is what,nutrition_info
can you read to me the nutritional info for macaroni and cheese,nutrition_info
do you know the nutritional info for macaroni and cheese,nutrition_info
can you remember the nutritional info for macaroni and cheese,nutrition_info
is it healthy to eat pizza,nutrition_info
is pizza healthy,nutrition_info
how healthy is pizza,nutrition_info
could pizza be healthy,nutrition_info
is pizza considered healthy,nutrition_info
id like to know the nutritional content of egg please,nutrition_info
whats the nutrition content of chicken nugget,nutrition_info
give me the nutrition fact for chicken breast,nutrition_info
whats the nutritional information for steak,nutrition_info
can you tell me the nutritional content of chicken nugget,nutrition_info
whats the nutritional information of iceberg lettuce,nutrition_info
what kind of nutritional content do carrot have,nutrition_info
nutritional information for celery,nutrition_info
what are the nutritional fact of waffle,nutrition_info
can you tell me the nutrition info for pork sausage,nutrition_info
whats the nutritional info for an apple,nutrition_info
whats the nutritional info for chicken breast,nutrition_info
whats the nutritional info for a banana,nutrition_info
whats the nutritional info for a cheeseburger,nutrition_info
whats the nutritional info for a loaf of bread,nutrition_info
mashed potato nutrition,nutrition_info
nutrition information of mashed potato,nutrition_info
what are the nutritional data for mashed potato,nutrition_info
are mashed potato good nutrition,nutrition_info
give me the nutritional information for mashed potato,nutrition_info
how healthy are apple,nutrition_info
i want to know if pizza is healthy,nutrition_info
can you tell me how healthy apple are,nutrition_info
are pasta dish healthy,nutrition_info
do you know the nutrition fact for grape,nutrition_info
i must know the nutritional info for grape,nutrition_info
grape have what kind of nutritional fact,nutrition_info
tell me the nutrition for grape,nutrition_info
can you show me the nutrition fact for grape,nutrition_info
i want to know the nutrition info for chicken nugget,nutrition_info
tell me the nutritional information for chicken nugget,nutrition_info
nutrition information for chicken nugget please,nutrition_info
can you tell me the nutritional information for chicken nugget,nutrition_info
i would like you to share with me the nutrition info for chicken nugget,nutrition_info
i want to know how nutritious an avocado typically is,nutrition_info
can you give me nutritional info on orange,nutrition_info
can you tell me how many calorie are in an apple,nutrition_info
i would like to know how much fat is in tbsp of olive oil,nutrition_info
can you give the nutritional information for the pasta,nutrition_info
let me see the nutrition content of the chicken taco,nutrition_info
i need to see the chicken salad nutritional info,nutrition_info
i need to know all about the nutrition of the beef taco,nutrition_info
i want to see the nutritional content of the hamburger,nutrition_info
what sort of nutrient doe a steak have,nutrition_info
whats the fact about nutrient in rice milk,nutrition_info
what type of nutrition doe spaghetti have,nutrition_info
how many kind of nutrient doe a glass of rice milk have,nutrition_info
can you give me information about the nutrition fact for celery,nutrition_info
whats the nutrient make up of a plate of spaghetti,nutrition_info
whats the nutrient info for a donut,nutrition_info
whats the nutritional info for a ganola bar,nutrition_info
can you tell me about the nutrient in jello,nutrition_info
how many nutrient are there in a bowl of cereal,nutrition_info
i need to know how healthy meatloaf is,nutrition_info
what are the nutrition fact of grilled chicken,nutrition_info
what are the nutrition fact for macaroni and cheese,nutrition_info
please fill me in on the nutrition fact for shrimp scampi,nutrition_info
is spaghetti healthy,nutrition_info
tell me how healthy mac and cheese is,nutrition_info
please give me the nutrition fact for chicken parmesan,nutrition_info
how healthy is grilled chicken,nutrition_info
i want to know the nutrition fact for pizza,nutrition_info
do you have nutrition fact for cheerio,nutrition_info
where are the nutrition fact for cheerio,nutrition_info
how nutritious are cheerio,nutrition_info
where on the cheerio box are the nutrition fact,nutrition_info
doe the box have nutrition fact for cheerio on it,nutrition_info
what are the nutrition fact for a mcdouble at mcdonalds,nutrition_info
how healthy are lunchables,nutrition_info
what are the nutrition fact for a medium popcorn at the movie,nutrition_info
whats the nutritional info for a subway chicken sandwhich,nutrition_info
what are the nutrition fact for a rodeo cheese burger at burger king,nutrition_info
how healthy is pho,nutrition_info
whats the nutritional value for a pizza lunchable,nutrition_info
how healthy is stax chip,nutrition_info
whats the nutritional info for a cup of noodle soup,nutrition_info
doe my calendar have anything for january 1st,calendar
what is there on january 1st on my calendar,calendar
